variant,bodies,time,std_time,fps,std_fps,gflops,std_gflops
1,5000,34800.5,76.495,17.2411,0.037,8.0,0.03
2,5000,17748.3,112.625,33.8061,0.217,15.7,0.111
3,5000,14894.3,128.93,40.2838,0.343,18.8,0.161
4,5000,13181.2,283.882,45.5193,0.962,21.2,0.441
5,5000,11105,129.762,54.0297,0.558,25.2,0.264
6,5000,9684.84,63.656,61.9525,0.414,28.9,0.199
7,5000,10195.4,125.789,58.8502,0.629,27.4,0.203
8,5000,10337.5,195.534,58.0411,0.456,27.0,0.065
9,5000,10580.4,209.896,56.7088,0.317,26.4,0.098
10,5000,10788.9,45.549,55.613,0.354,25.9,0.064
11,5000,10806.1,138.462,55.5242,0.397,25.9,0.165
12,5000,10905.6,98.1156,55.0174,0.354,25.6,0.226
